pis_score,ls2slct,ls3-mpss,ls4-lcs,ls5-uss,ls6-dc,ls1-totalEnglish,ls1-totalFilipino,flt-overall-score,level
9,4,4,5,6,4,8,4,44,JHS
10,9,12,7,9,10,9,10,76,SHS
9,4,4,5,6,4,8,4,44,JHS
10,11,12,10,9,9,14,13,88,SHS
9,6,8,6,8,6,8,9,60,JHS
10,12,14,10,9,10,14,14,93,SHS
10,12,13,10,10,10,15,13,93,SHS
10,12,14,10,9,10,14,14,93,SHS
10,11,13,10,10,9,15,13,91,SHS
9,4,4,5,6,4,8,4,44,JHS
9,7,8,6,10,5,8,9,62,JHS
9,4,4,5,6,4,8,4,44,JHS
10,13,14,10,10,10,15,14,96,SHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
10,5,8,10,9,3,6,9,60,JHS
9,4,4,5,6,4,8,4,44,JHS
10,10,10,10,10,10,14,14,88,SHS
10,10,12,10,10,10,13,13,88,SHS
9,4,4,5,6,4,8,4,44,JHS
10,8,7,8,10,5,9,10,67,SHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
10,12,13,10,10,10,13,12,90,SHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
10,10,14,10,8,8,10,10,80,SHS
10,8,7,8,9,8,9,9,68,SHS
9,4,4,5,6,4,8,4,44,JHS
10,4,11,8,9,7,8,8,65,SHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
10,10,12,10,10,10,15,14,91,SHS
10,7,7,7,7,7,10,9,64,JHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
10,13,14,10,10,10,15,14,96,SHS
9,4,4,5,6,4,8,4,44,JHS
10,12,14,10,9,10,15,13,93,SHS
10,11,14,9,9,9,14,13,89,SHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
10,11,14,9,10,8,14,14,90,SHS
9,4,4,5,6,4,8,4,44,JHS
10,7,8,7,6,5,10,9,62,JHS
9,4,4,5,6,4,8,4,44,JHS
9,4,4,5,6,4,8,4,44,JHS
10,4,3,4,5,6,6,9,47,JHS
9,4,4,5,6,4,8,4,44,JHS
10,7,8,5,7,6,8,9,60,JHS
10,12,14,10,9,10,15,15,95,SHS
9,4,4,5,6,4,8,4,44,JHS
10,13,14,10,10,10,15,14,96,SHS
10,12,14,10,10,10,15,14,95,SHS
9,4,4,5,6,4,8,4,44,JHS
10,9,13,7,7,8,9,10,73,SHS
10,13,15,10,10,10,14,14,96,SHS
9,4,4,5,6,4,8,4,44,JHS
9,8,9,8,10,7,9,7,67,SHS
9,9,7,10,10,6,9,4,64,JHS
9,8,9,8,10,7,9,7,67,SHS
9,9,7,10,10,6,9,4,64,JHS
9,6,5,8,8,3,9,7,55,JHS
9,10,9,8,10,7,9,9,71,SHS
10,8,9,8,10,7,9,7,68,SHS
9,9,8,9,9,8,9,9,70,SHS
9,9,8,9,9,8,9,9,70,SHS
9,9,7,10,10,6,9,4,64,JHS
9,10,9,8,10,7,9,9,71,SHS
9,9,7,10,10,6,9,4,64,JHS
9,8,9,8,10,7,9,7,67,SHS
9,9,7,10,10,6,9,4,64,JHS
10,6,5,8,8,3,9,7,56,JHS
9,9,8,9,9,8,9,9,70,SHS
9,6,5,8,8,3,9,7,55,JHS
9,9,7,10,10,6,9,4,64,JHS
9,6,5,8,8,3,9,7,55,JHS
9,8,9,8,10,7,9,7,67,SHS
9,6,5,8,8,3,9,7,55,JHS
9,8,9,8,10,7,9,7,67,SHS
9,6,5,8,8,3,9,7,55,JHS
9,9,7,10,10,6,9,4,64,JHS
9,6,5,8,8,3,9,7,55,JHS
9,10,9,8,10,7,9,9,71,SHS
9,9,7,10,10,6,9,4,64,JHS
9,9,8,9,9,8,9,9,70,SHS
9,6,5,8,8,3,9,7,55,JHS
9,9,7,10,10,6,9,4,64,JHS
9,6,5,8,8,3,9,7,55,JHS
9,9,8,9,9,8,9,9,70,SHS
9,8,9,8,10,7,9,7,67,SHS
9,9,7,10,10,6,9,4,64,JHS
9,8,9,8,10,7,9,7,67,SHS
9,9,7,10,10,6,9,4,64,JHS
9,9,7,10,10,6,9,4,64,JHS
10,8,9,8,10,7,9,7,68,SHS
10,9,7,10,10,6,9,4,65,SHS
9,9,7,10,10,6,9,4,64,JHS
9,6,5,8,8,3,9,7,55,JHS
10,6,5,8,8,3,9,7,56,JHS
9,9,8,9,9,8,9,9,70,SHS
10,8,9,8,10,7,9,7,68,SHS
9,8,9,8,10,7,9,7,67,SHS
9,9,7,10,10,6,9,4,64,JHS
9,6,5,8,8,3,9,7,55,JHS
9,9,7,10,10,6,9,4,64,JHS
9,6,5,8,8,3,9,7,55,JHS
9,9,7,10,10,6,9,4,64,JHS
9,6,5,8,8,3,9,7,55,JHS
9,9,8,9,9,8,9,9,70,SHS
9,9,7,10,10,6,9,4,64,JHS
9,8,9,8,10,7,9,7,67,SHS
9,9,8,9,9,8,9,9,70,SHS
9,9,8,9,9,8,9,9,70,SHS
9,8,9,8,10,7,9,7,67,SHS
9,8,9,8,10,7,9,7,67,SHS
9,7,8,6,7,6,8,9,60,JHS
10,7,10,5,8,5,9,9,63,JHS
9,6,8,6,8,6,8,9,60,JHS
8,8,12,8,10,8,8,9,71,SHS
10,8,13,7,9,8,9,10,74,SHS
9,7,8,6,10,5,8,9,62,JHS
9,8,9,7,9,6,8,9,65,SHS
9,8,11,7,10,6,9,9,69,SHS
10,8,11,6,7,5,8,8,63,JHS
10,7,10,5,8,5,9,9,63,JHS
10,7,10,5,8,5,9,9,63,JHS
9,7,8,9,10,7,11,9,70,SHS
9,8,10,9,10,5,8,9,68,SHS
9,3,4,3,5,3,7,6,40,JHS
10,8,10,7,9,6,10,8,68,SHS
10,7,10,5,8,5,9,9,63,JHS
10,7,10,5,8,5,9,9,63,JHS
10,7,10,5,8,5,9,9,63,JHS
9,7,10,6,9,6,8,8,63,JHS
10,13,13,10,10,10,13,13,92,SHS
9,7,8,6,8,5,8,10,61,JHS
10,7,8,9,9,9,9,11,72,SHS
10,8,9,6,9,6,8,9,65,SHS
10,7,8,8,10,5,9,9,66,SHS
10,7,8,6,9,5,12,10,67,SHS
9,8,10,6,5,5,10,9,62,JHS
10,8,8,9,10,8,10,12,75,SHS
9,8,10,6,5,5,10,9,62,JHS
10,7,8,6,9,7,8,7,62,JHS
9,8,8,8,9,5,7,9,63,JHS
8,7,8,9,10,5,8,9,64,JHS
10,8,11,7,9,8,8,9,70,SHS
9,8,9,9,10,6,6,9,66,SHS
9,7,8,6,8,5,8,9,60,JHS
10,8,11,6,7,5,8,8,63,JHS
10,7,8,5,7,6,8,9,60,JHS
10,8,11,6,7,5,8,8,63,JHS
10,12,9,8,9,9,8,8,73,SHS
9,7,8,6,6,6,8,9,59,JHS
9,7,8,7,8,7,11,11,68,SHS
9,10,12,10,10,5,8,10,74,SHS
9,7,8,6,8,5,8,9,60,JHS
10,8,11,9,10,8,7,10,73,SHS
10,3,6,4,3,5,6,8,45,JHS
10,10,14,10,10,8,12,15,89,SHS
10,11,15,10,10,10,14,15,95,SHS
10,8,12,9,8,10,12,13,82,SHS
10,7,11,8,9,5,13,13,76,SHS
10,10,15,10,10,9,15,15,94,SHS
10,8,14,9,9,9,13,14,86,SHS
10,5,13,9,10,8,13,15,83,SHS
10,5,7,8,6,5,11,15,67,SHS
10,10,15,7,10,6,15,15,88,SHS
10,7,12,7,10,7,14,11,78,SHS
10,5,5,8,8,5,9,14,64,JHS
10,7,6,7,10,6,9,9,64,JHS
10,8,13,2,9,8,14,13,77,SHS
10,11,15,10,10,9,14,13,92,SHS
10,8,15,6,9,8,15,15,86,SHS
10,7,14,8,8,9,10,9,75,SHS
10,5,5,5,5,4,10,9,53,JHS
10,6,9,9,8,5,10,9,66,SHS
10,7,10,7,8,6,12,12,72,SHS
10,7,8,3,5,3,9,7,52,JHS
10,7,9,7,10,9,14,13,79,SHS
10,7,10,7,9,9,10,9,71,SHS
10,9,14,9,10,9,12,10,83,SHS
10,9,14,6,10,6,13,13,81,SHS
10,7,8,9,8,5,13,13,73,SHS
10,5,5,4,9,4,12,12,61,JHS
10,8,12,9,9,5,9,10,72,SHS
10,11,15,10,10,10,15,14,95,SHS
10,5,7,8,8,4,8,8,58,JHS
10,7,9,5,5,4,8,16,64,JHS
10,7,10,9,9,8,15,14,82,SHS
10,13,15,10,10,10,13,12,93,SHS
10,11,15,10,10,10,15,14,95,SHS
10,6,7,8,8,7,12,13,71,SHS
10,5,7,6,5,6,7,6,52,JHS
10,9,14,8,8,6,7,7,69,SHS
10,13,13,8,10,9,15,15,93,SHS
10,10,9,10,10,6,14,15,84,SHS
9,10,14,10,10,5,11,9,78,SHS
10,7,13,7,6,6,7,6,62,JHS
10,6,15,6,9,7,15,13,81,SHS
10,8,12,9,10,9,15,15,88,SHS
10,10,14,10,10,5,11,10,80,SHS
10,10,10,8,10,8,14,15,85,SHS
8,7,12,7,10,9,15,10,78,SHS
10,10,9,10,10,6,14,15,84,SHS
10,9,11,13,9,8,14,13,87,SHS
10,6,11,7,8,4,10,11,67,SHS
10,7,13,10,10,8,14,14,86,SHS
10,9,5,8,10,8,10,14,74,SHS
10,9,11,8,10,8,13,14,83,SHS
10,7,13,7,6,6,7,9,65,SHS
10,13,13,9,10,9,15,15,94,SHS
10,8,13,6,10,8,13,13,81,SHS
10,10,12,6,8,6,14,14,80,SHS
10,7,10,7,7,6,8,7,62,JHS
10,7,10,8,8,6,11,9,69,SHS
10,8,9,5,10,8,15,15,80,SHS
10,9,10,8,10,7,14,11,79,SHS
10,4,13,9,8,7,7,9,67,SHS
10,8,10,7,10,5,8,9,67,SHS
10,7,10,7,10,4,11,10,69,SHS
10,4,6,6,5,5,7,6,49,JHS
10,4,6,6,5,5,8,6,50,JHS
8,4,5,6,5,5,7,5,45,JHS
10,4,6,6,5,5,8,6,50,JHS
10,10,14,10,10,6,11,9,80,SHS
10,9,10,8,10,8,13,14,82,SHS
10,6,15,6,7,7,14,13,78,SHS
10,10,13,9,10,10,13,15,90,SHS
10,13,15,10,10,10,15,15,98,SHS
10,12,7,10,10,10,14,15,88,SHS
10,10,9,10,9,9,14,15,86,SHS
10,8,9,10,10,7,15,15,84,SHS
10,12,14,10,10,10,15,15,96,SHS
10,9,10,8,9,6,15,15,82,SHS
10,4,13,7,8,6,8,8,64,JHS
10,12,12,10,10,10,15,15,94,SHS
10,9,9,9,10,9,15,15,86,SHS
10,6,8,10,9,5,8,8,64,JHS
10,9,9,10,10,9,15,15,87,SHS
10,9,8,8,8,9,15,15,82,SHS
10,9,11,10,10,9,15,15,89,SHS
10,10,11,10,10,9,15,15,90,SHS
10,9,11,10,9,7,15,15,86,SHS
10,11,11,10,10,9,14,15,90,SHS
10,9,11,10,10,9,15,15,89,SHS
10,8,10,9,9,8,11,13,78,SHS
10,6,8,9,9,5,8,8,63,JHS
10,8,9,9,9,8,8,13,74,SHS
10,9,8,8,8,9,15,15,82,SHS
10,11,12,10,10,9,15,15,92,SHS
10,8,10,9,9,8,11,13,78,SHS
10,6,7,7,7,4,8,8,57,JHS
10,8,10,9,9,8,9,13,76,SHS
10,8,10,9,9,8,8,13,75,SHS
10,8,9,9,8,8,9,12,73,SHS
10,8,9,10,9,7,11,14,78,SHS
10,9,10,8,8,9,15,15,84,SHS
10,5,8,6,5,6,8,6,54,JHS
10,11,13,8,10,9,13,14,88,SHS
10,5,8,6,5,6,8,6,54,JHS
10,8,6,7,8,6,12,13,70,SHS
10,5,5,7,4,3,7,12,53,JHS
10,12,14,10,9,8,9,9,81,SHS
10,8,8,8,8,4,13,13,72,SHS
10,6,3,5,5,3,12,14,58,JHS
10,13,15,10,10,10,15,15,98,SHS
10,10,11,9,10,9,11,15,85,SHS
10,5,5,7,4,3,7,14,55,JHS
10,8,10,8,9,5,13,15,78,SHS
10,14,12,10,9,10,15,15,95,SHS
10,12,11,10,10,10,14,15,92,SHS
10,11,13,10,10,9,14,13,90,SHS
10,10,12,8,10,10,15,15,90,SHS
10,9,7,8,8,6,13,12,73,SHS
10,9,12,9,10,9,14,15,88,SHS
10,3,9,6,9,4,14,14,69,SHS
10,4,5,5,4,4,7,13,52,JHS
10,13,15,10,10,10,15,15,98,SHS
10,7,7,7,10,6,11,12,70,SHS
10,11,13,10,10,9,15,15,93,SHS
10,9,15,8,10,7,14,14,87,SHS
10,11,14,10,10,10,15,15,95,SHS
10,9,12,8,9,9,9,9,75,SHS
10,7,6,8,10,6,13,15,75,SHS
10,8,10,8,9,5,13,15,78,SHS
10,6,8,7,8,5,13,14,71,SHS
10,9,10,10,10,7,15,15,86,SHS
10,10,14,10,10,10,14,14,92,SHS
10,7,12,7,9,6,12,15,78,SHS
10,13,15,10,10,10,15,15,98,SHS
10,7,7,6,10,5,7,3,55,JHS
10,9,15,8,8,7,14,14,85,SHS
10,12,14,10,10,9,14,13,92,SHS
10,12,14,9,9,9,14,13,90,SHS
10,13,15,10,10,10,13,14,95,SHS
10,13,14,9,10,9,13,13,91,SHS
9,12,12,9,9,9,13,15,88,SHS
10,12,14,9,10,10,14,13,92,SHS
10,12,14,10,10,10,14,13,93,SHS
10,13,13,10,9,10,13,13,91,SHS
10,13,14,9,9,8,14,14,91,SHS
10,12,13,10,9,9,14,14,91,SHS
9,12,14,9,9,9,13,14,89,SHS
9,12,13,9,9,9,13,14,88,SHS
10,9,10,10,9,9,9,6,72,SHS
10,10,10,10,10,10,13,13,86,SHS
10,7,10,9,8,9,10,7,70,SHS
10,5,11,9,9,9,11,7,71,SHS
9,9,9,9,9,9,7,9,70,SHS
11,7,10,10,9,9,9,6,71,SHS
10,11,12,10,10,8,13,14,88,SHS
10,9,13,8,9,7,13,12,81,SHS
9,8,9,8,9,6,10,11,70,SHS
9,5,13,8,10,7,8,10,70,SHS
9,12,15,10,10,10,13,11,90,SHS
9,5,8,6,6,7,10,7,58,JHS
10,7,9,10,10,6,12,11,75,SHS
10,8,8,10,10,6,13,9,74,SHS
10,9,9,10,10,6,12,9,75,SHS
10,9,8,9,10,7,12,10,75,SHS
10,9,8,9,10,6,10,9,71,SHS
10,9,8,9,10,7,12,10,75,SHS
10,9,6,7,10,6,10,9,67,SHS
10,9,9,8,10,6,9,7,68,SHS
10,8,9,7,10,6,11,9,70,SHS
10,8,9,10,10,6,11,11,75,SHS
10,7,11,7,10,7,9,9,70,SHS
10,8,9,9,9,9,11,12,77,SHS
10,13,15,10,10,10,7,7,82,SHS
10,11,15,10,10,10,15,15,96,SHS
10,8,9,9,9,9,11,12,77,SHS
10,13,15,10,10,10,15,15,98,SHS
10,13,14,10,10,9,10,12,88,SHS
10,12,15,10,10,10,13,13,93,SHS
10,11,12,10,10,9,12,12,86,SHS
10,13,14,10,10,9,14,15,95,SHS
10,12,10,10,10,10,15,15,92,SHS
10,12,13,10,10,10,15,15,95,SHS
10,13,15,10,10,10,15,15,98,SHS
10,9,15,10,10,8,12,10,84,SHS
10,9,15,10,10,8,11,10,83,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,14,10,10,10,15,14,96,SHS
10,12,12,7,10,5,12,9,77,SHS
10,11,13,14,8,8,13,12,89,SHS
10,10,13,8,9,8,12,11,81,SHS
10,13,15,8,9,7,14,14,90,SHS
10,8,9,9,9,9,11,12,77,SHS
10,7,13,6,10,8,10,14,78,SHS
10,8,12,8,9,8,14,11,80,SHS
10,1,15,10,10,10,15,15,86,SHS
10,12,15,10,10,10,14,14,95,SHS
10,13,10,9,8,8,10,9,77,SHS
10,12,10,10,10,10,15,15,92,SHS
10,13,15,9,10,8,15,11,91,SHS
9,12,14,9,9,10,13,13,89,SHS
10,10,9,8,6,10,13,13,79,SHS
10,13,15,10,10,10,15,15,98,SHS
10,10,13,8,6,8,13,13,81,SHS
10,13,14,8,10,7,11,12,85,SHS
10,12,15,10,10,10,15,15,97,SHS
10,11,12,10,10,10,14,14,91,SHS
10,9,15,10,10,10,13,12,89,SHS
10,11,15,7,10,7,12,13,85,SHS
10,13,15,1,4,5,14,15,77,SHS
8,12,13,10,10,9,14,14,90,SHS
10,12,10,9,10,7,10,8,76,SHS
10,11,15,7,10,7,9,10,79,SHS
10,10,12,8,8,9,15,15,87,SHS
10,12,10,10,10,10,15,15,92,SHS
10,10,15,10,8,8,14,11,86,SHS
9,3,7,7,7,2,7,4,46,JHS
9,7,13,4,10,5,8,9,65,SHS
9,5,5,5,6,10,7,8,55,JHS
9,3,7,7,7,5,5,7,50,JHS
9,6,13,5,10,5,8,8,64,JHS
9,2,5,6,9,2,8,6,47,JHS
9,6,5,7,5,3,8,6,49,JHS
8,10,8,7,9,5,3,6,56,JHS
9,8,10,10,7,3,7,7,61,JHS
9,8,10,5,10,5,7,8,62,JHS
9,8,6,9,8,6,8,8,62,JHS
9,5,4,5,9,2,4,5,43,JHS
9,6,11,7,8,4,3,9,57,JHS
8,6,6,10,10,8,4,7,59,JHS
7,7,14,8,6,8,11,9,70,SHS
7,11,13,10,8,8,11,10,78,SHS
7,10,13,10,8,8,11,9,76,SHS
8,11,14,10,9,9,12,10,83,SHS
7,10,13,10,8,8,11,10,77,SHS
7,11,14,10,9,9,11,10,81,SHS
7,10,13,10,8,8,11,10,77,SHS
7,10,13,10,8,8,11,10,77,SHS
7,10,13,10,8,8,11,10,77,SHS
6,10,12,10,7,7,10,9,71,SHS
6,10,13,10,8,8,10,10,75,SHS
8,11,14,10,9,9,12,10,83,SHS
8,11,14,10,9,9,12,10,83,SHS
7,10,13,10,8,8,11,11,78,SHS
8,11,14,10,9,9,12,10,83,SHS
6,10,12,10,7,7,10,10,72,SHS
7,10,13,10,8,8,11,10,77,SHS
8,12,14,10,9,9,11,9,82,SHS
7,11,13,10,8,8,11,11,79,SHS
10,10,9,10,10,9,14,13,85,SHS
10,10,10,10,10,9,13,13,85,SHS
10,10,9,9,10,10,12,13,83,SHS
10,9,10,10,9,10,12,13,83,SHS
10,9,9,10,10,10,13,13,84,SHS
10,12,14,9,10,10,12,13,90,SHS
10,12,12,10,10,10,13,13,90,SHS
10,12,14,9,10,8,13,13,89,SHS
10,9,10,10,10,9,13,12,83,SHS
10,11,12,10,10,10,13,13,89,SHS
10,11,12,10,10,10,13,13,89,SHS
10,12,13,10,10,10,12,13,90,SHS
10,4,13,14,10,9,9,8,77,SHS
10,13,15,10,10,10,15,15,98,SHS
10,10,13,10,9,10,13,14,89,SHS
9,4,7,6,5,5,6,4,46,JHS
8,9,9,9,10,6,8,8,67,SHS
8,8,10,11,9,9,10,11,76,SHS
9,13,15,10,9,10,9,10,85,SHS
8,9,8,8,9,9,7,7,65,SHS
8,8,13,9,9,8,10,11,76,SHS
10,9,12,8,9,10,12,11,81,SHS
10,10,11,9,10,9,11,10,80,SHS
10,12,10,9,10,9,10,10,80,SHS
9,8,9,9,10,10,12,12,79,SHS
10,10,10,10,10,9,12,12,83,SHS
8,11,6,6,8,7,10,9,65,SHS
7,9,8,8,8,8,9,8,65,SHS
9,10,6,7,7,8,9,11,67,SHS
10,9,8,7,9,9,10,11,73,SHS
9,9,10,10,9,9,11,11,78,SHS
8,9,11,10,8,10,10,9,75,SHS
8,8,6,9,10,8,8,10,67,SHS
10,10,15,10,9,10,10,12,86,SHS
8,13,7,6,7,8,13,12,74,SHS
7,9,11,9,10,9,9,9,73,SHS
8,10,9,8,9,10,11,9,74,SHS
8,7,7,8,10,8,12,11,71,SHS
9,8,8,8,10,10,10,10,73,SHS
8,9,8,10,8,8,12,10,73,SHS
9,11,9,8,9,8,10,10,74,SHS
8,9,8,10,8,8,12,10,73,SHS
10,10,10,9,9,9,11,11,79,SHS
10,9,8,6,7,8,12,12,72,SHS
8,9,10,10,10,9,10,12,78,SHS
9,8,10,11,10,9,10,9,76,SHS
9,9,8,6,10,8,10,8,68,SHS
9,11,13,8,9,8,10,9,77,SHS
10,10,12,9,10,9,10,12,82,SHS
10,7,9,6,8,6,10,11,67,SHS
10,13,15,10,10,10,13,15,96,SHS
9,13,15,10,10,10,12,14,93,SHS
10,8,7,6,7,5,5,7,55,JHS
10,11,8,9,10,9,12,11,80,SHS
7,13,14,9,9,9,16,15,92,SHS
10,7,11,9,10,7,14,13,81,SHS
10,10,15,10,10,8,12,15,90,SHS
10,3,5,4,6,3,7,10,48,JHS
10,7,5,4,10,8,10,7,61,JHS
10,8,10,5,6,3,13,11,66,SHS
10,8,10,5,6,3,13,11,66,SHS
10,13,15,9,9,9,9,10,84,SHS
10,9,12,5,7,6,7,12,68,SHS
10,7,10,7,8,4,13,9,68,SHS
10,8,12,7,7,7,12,6,69,SHS
10,13,15,10,10,10,15,15,98,SHS
10,12,13,8,10,9,13,15,90,SHS
10,11,14,4,10,9,12,12,82,SHS
10,12,10,9,10,9,13,12,85,SHS
9,11,15,6,10,9,15,13,88,SHS
10,10,12,9,8,7,12,15,83,SHS
10,11,14,10,10,10,14,15,94,SHS
10,12,15,10,10,10,13,15,95,SHS
10,8,8,9,9,7,14,9,74,SHS
10,10,13,10,10,8,13,10,84,SHS
10,13,15,10,10,10,13,13,94,SHS
10,9,10,8,10,10,11,13,81,SHS
10,12,14,10,9,9,12,12,88,SHS
10,7,11,8,10,7,9,12,74,SHS
10,10,12,2,9,8,14,14,79,SHS
10,6,10,9,9,7,11,13,75,SHS
10,5,13,9,7,7,9,11,71,SHS
10,9,10,10,10,9,9,11,78,SHS
10,13,15,10,10,10,15,12,95,SHS
10,6,4,5,6,6,9,10,56,JHS
10,8,7,8,8,8,12,12,73,SHS
10,9,15,10,10,10,9,9,82,SHS
10,11,12,8,10,6,13,12,82,SHS
10,7,5,6,8,4,7,10,57,JHS
10,6,4,8,6,6,9,9,58,JHS
10,6,4,4,5,4,10,10,53,JHS
9,10,12,9,10,8,9,11,78,SHS
10,6,5,6,8,8,10,9,62,JHS
10,7,4,4,4,5,11,7,52,JHS
10,6,10,9,6,6,11,11,69,SHS
10,10,11,10,9,7,12,13,82,SHS
