pis_score,ls2slct,ls3-mpss,ls4-lcs,ls5-uss,ls6-dc,ls1-totalEnglish,ls1-totalFilipino,flt-overall-score,level
10,10,11,10,9,8,15,15,88,SHS
10,6,8,8,7,6,11,12,68,SHS
10,9,10,9,10,10,11,10,79,SHS
10,7,7,6,6,5,10,9,60,JHS
10,4,8,5,10,6,12,13,68,SHS
10,12,12,10,9,6,9,9,77,SHS
10,6,5,7,8,6,10,10,62,JHS
10,6,5,6,8,8,10,10,63,JHS
10,10,12,8,8,8,11,13,80,SHS
10,7,13,9,8,8,13,13,81,SHS
10,8,7,8,9,7,10,12,71,SHS
10,8,9,6,6,7,8,10,64,JHS
10,10,14,9,10,9,12,12,86,SHS
10,10,11,9,10,10,14,14,88,SHS
10,5,4,5,6,6,9,11,56,JHS
10,10,13,8,9,9,9,10,78,SHS
10,7,7,9,7,7,11,11,69,SHS
10,9,8,7,8,8,11,11,72,SHS
10,7,7,8,7,7,11,11,68,SHS
10,10,10,8,8,8,11,12,77,SHS
10,8,7,8,8,9,11,12,73,SHS
10,8,8,8,7,8,11,12,72,SHS
10,8,8,8,7,8,11,12,72,SHS
10,8,8,8,7,8,11,12,72,SHS
10,8,8,8,7,7,11,12,71,SHS
10,7,7,8,7,8,11,11,69,SHS
10,7,7,9,7,8,11,11,70,SHS
10,9,8,7,8,8,11,11,72,SHS
10,7,7,7,8,8,11,11,69,SHS
10,8,7,7,8,8,11,11,70,SHS
10,8,7,8,8,6,11,12,70,SHS
10,7,7,7,8,7,11,11,68,SHS
10,7,7,9,8,8,11,11,71,SHS
10,8,7,8,8,6,11,12,70,SHS
10,8,7,7,8,7,11,12,70,SHS
10,8,7,8,8,8,11,12,72,SHS
10,8,7,8,8,6,11,12,70,SHS
10,8,7,7,8,6,11,12,69,SHS
10,8,7,7,7,6,11,12,68,SHS
10,7,7,7,8,8,11,11,69,SHS
10,7,7,8,8,8,11,11,70,SHS
10,7,7,8,8,8,11,11,70,SHS
10,7,7,9,9,9,11,11,73,SHS
10,7,7,7,7,7,11,11,67,SHS
10,7,7,7,7,7,11,11,67,SHS
10,7,7,7,7,7,11,11,67,SHS
10,7,7,7,7,6,11,11,66,SHS
10,8,7,7,7,6,11,12,68,SHS
10,8,7,7,8,7,11,12,70,SHS
10,8,7,7,8,7,11,12,70,SHS
10,8,8,8,8,8,11,12,73,SHS
10,8,7,7,7,8,11,12,70,SHS
10,7,7,8,7,8,11,11,69,SHS
10,7,7,7,7,7,11,11,67,SHS
10,8,7,7,8,7,11,12,70,SHS
10,8,7,7,8,7,11,12,70,SHS
9,7,7,7,7,7,11,10,65,SHS
10,7,7,7,7,7,11,12,68,SHS
9,4,7,5,5,6,8,6,50,JHS
10,7,7,7,7,7,11,11,67,SHS
10,7,7,7,7,7,11,11,67,SHS
10,7,7,7,7,7,11,11,67,SHS
10,8,7,7,7,8,11,12,70,SHS
10,8,7,7,7,7,11,12,69,SHS
10,7,7,7,7,7,11,11,67,SHS
10,8,7,7,7,7,11,11,68,SHS
10,8,7,7,7,7,11,12,69,SHS
10,8,7,8,7,7,11,12,70,SHS
10,8,7,7,7,7,11,11,68,SHS
10,7,8,8,9,9,11,12,74,SHS
10,8,8,8,6,6,11,11,68,SHS
10,8,8,8,7,7,11,11,70,SHS
10,7,8,8,7,7,11,12,70,SHS
10,8,8,8,7,7,11,12,71,SHS
10,8,8,8,7,8,11,12,72,SHS
10,8,8,8,7,8,11,12,72,SHS
10,8,8,8,8,7,11,12,72,SHS
10,8,8,8,7,6,11,11,69,SHS
10,8,10,8,9,9,11,12,77,SHS
10,9,9,8,9,8,11,12,76,SHS
10,8,8,8,8,7,11,12,72,SHS
10,8,7,7,7,7,11,12,69,SHS
10,8,8,8,8,8,11,12,73,SHS
10,9,8,9,7,8,11,11,73,SHS
10,7,7,9,7,8,11,11,70,SHS
10,7,7,9,8,8,11,11,71,SHS
10,10,10,8,9,8,11,12,78,SHS
10,10,11,8,9,8,11,12,79,SHS
9,4,7,5,5,6,8,6,50,JHS
10,10,10,8,8,8,11,12,77,SHS
10,10,10,8,9,9,11,12,79,SHS
10,13,15,10,10,10,14,11,93,SHS
10,13,15,10,10,10,13,13,94,SHS
10,13,15,10,10,10,13,14,95,SHS
10,12,13,9,10,9,14,13,90,SHS
10,13,15,10,10,10,15,12,95,SHS
10,13,15,10,10,10,13,15,96,SHS
10,13,15,10,10,10,15,15,98,SHS
10,13,15,10,10,10,15,15,98,SHS
10,13,15,10,10,10,15,15,98,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,15,98,SHS
10,13,15,10,10,10,15,15,98,SHS
10,13,15,10,10,10,15,15,98,SHS
10,13,15,10,10,10,15,15,98,SHS
10,13,15,10,10,10,15,15,98,SHS
10,13,15,10,10,10,15,15,98,SHS
10,11,11,8,8,10,11,11,80,SHS
10,13,15,10,10,10,15,15,98,SHS
10,13,15,10,10,10,14,15,97,SHS
10,13,15,10,10,10,15,15,98,SHS
10,13,15,10,10,10,15,15,98,SHS
10,13,15,10,10,10,15,15,98,SHS
10,13,15,10,10,10,15,15,98,SHS
10,8,9,8,8,7,9,7,66,SHS
10,11,12,8,8,7,10,8,74,SHS
10,9,10,8,8,8,10,8,71,SHS
10,11,13,10,10,10,11,11,86,SHS
10,7,8,6,10,6,10,13,70,SHS
10,9,14,7,9,9,9,14,81,SHS
10,6,7,5,4,1,10,10,53,JHS
10,8,8,8,9,8,10,10,71,SHS
10,8,6,6,10,7,8,10,65,SHS
10,6,7,5,4,1,10,10,53,JHS
10,7,9,6,8,6,12,10,68,SHS
10,2,3,4,6,5,7,10,47,JHS
9,7,9,7,9,9,10,12,72,SHS
9,9,8,8,7,9,12,13,75,SHS
9,8,9,7,9,8,11,12,73,SHS
9,8,8,7,8,8,11,12,71,SHS
9,8,8,8,8,9,12,12,74,SHS
9,7,8,7,7,8,11,13,70,SHS
9,7,9,7,7,8,10,11,68,SHS
9,8,9,9,9,8,6,6,64,JHS
9,4,8,9,9,7,5,6,57,JHS
9,4,6,5,5,7,6,6,48,JHS
9,6,5,6,6,8,7,6,53,JHS
10,4,7,5,4,4,7,5,46,JHS
9,9,5,5,10,8,7,4,57,JHS
9,8,3,3,4,4,7,6,44,JHS
9,8,7,8,8,7,7,5,59,JHS
10,7,8,7,7,8,10,10,67,SHS
9,4,8,6,7,4,7,8,53,JHS
9,9,12,9,10,7,10,11,77,SHS
10,9,12,9,10,7,11,10,78,SHS
9,5,14,6,9,5,10,10,68,SHS
9,12,7,10,5,9,7,8,67,SHS
8,5,9,5,6,5,7,7,52,JHS
9,7,7,5,7,6,8,8,57,JHS
9,11,8,7,10,7,9,5,66,SHS
10,9,9,9,9,8,9,10,73,SHS
9,6,5,6,6,7,7,7,53,JHS
9,4,7,6,6,8,7,8,55,JHS
9,5,7,8,9,6,9,9,62,JHS
10,9,11,10,7,9,11,12,79,SHS
9,6,7,6,7,6,7,6,54,JHS
6,10,7,8,6,9,8,8,62,JHS
8,7,9,7,6,7,6,5,55,JHS
9,10,8,7,8,9,8,11,70,SHS
9,10,14,7,9,9,7,8,73,SHS
9,9,5,6,8,9,6,8,60,JHS
9,4,7,6,5,5,7,6,49,JHS
9,4,7,6,5,5,8,6,50,JHS
9,4,7,6,5,5,7,4,47,JHS
9,4,7,6,5,5,7,6,49,JHS
9,4,7,6,5,5,8,6,50,JHS
9,4,7,6,5,5,7,6,49,JHS
9,4,8,9,9,7,5,6,57,JHS
9,4,6,5,5,7,6,6,48,JHS
9,9,6,8,10,8,6,6,62,JHS
9,8,9,9,9,8,6,6,64,JHS
9,7,7,8,10,7,7,4,59,JHS
9,7,5,5,6,7,7,4,50,JHS
9,9,8,8,8,7,5,6,60,JHS
9,10,3,3,4,5,6,4,44,JHS
9,9,5,4,10,7,5,5,54,JHS
9,10,4,9,9,10,6,5,62,JHS
9,8,6,5,8,8,7,4,55,JHS
9,7,4,8,9,8,5,6,56,JHS
9,9,8,5,10,8,5,5,59,JHS
9,9,5,5,10,8,7,4,57,JHS
9,9,4,8,9,8,3,6,56,JHS
10,7,8,6,7,6,7,6,57,JHS
9,4,8,9,10,8,6,4,58,JHS
9,8,8,9,9,8,6,5,62,JHS
9,7,8,8,9,7,3,6,57,JHS
9,3,8,10,8,8,8,7,61,JHS
9,8,7,8,8,7,7,5,59,JHS
8,8,3,4,5,3,7,6,44,JHS
9,3,5,10,8,8,6,4,53,JHS
9,9,8,8,7,7,6,6,60,JHS
9,6,3,4,5,4,5,6,42,JHS
9,3,5,4,5,4,6,6,42,JHS
9,7,8,8,9,7,4,7,59,JHS
9,3,5,5,10,8,5,5,50,JHS
10,5,8,6,7,7,6,6,55,JHS
9,7,9,9,8,7,5,7,61,JHS
9,7,8,7,7,8,6,6,58,JHS
9,8,9,9,10,8,4,3,60,JHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,13,15,10,10,10,15,14,97,SHS
10,5,10,6,4,5,10,10,60,JHS
10,6,8,7,9,6,10,10,66,SHS
9,9,11,10,9,9,13,12,82,SHS
10,8,10,12,10,9,10,10,79,SHS
10,7,12,7,9,7,10,10,72,SHS
8,10,9,10,9,8,14,12,80,SHS
10,9,9,10,9,9,15,10,81,SHS
10,11,9,7,10,8,12,11,78,SHS
9,10,9,6,10,8,11,15,78,SHS
10,8,8,8,10,8,12,14,78,SHS
10,8,8,8,10,8,12,14,78,SHS
10,8,8,8,10,8,12,14,78,SHS
10,8,8,8,10,8,12,14,78,SHS
10,8,8,8,10,8,12,14,78,SHS
10,9,10,9,9,8,11,15,81,SHS
10,9,10,9,9,8,11,15,81,SHS
10,10,12,9,8,7,12,10,78,SHS
10,8,8,8,10,8,12,14,78,SHS
10,9,9,10,9,9,9,5,70,SHS
10,9,9,11,9,9,9,5,71,SHS
10,9,9,11,9,9,9,5,71,SHS
10,10,11,12,10,9,9,5,76,SHS
10,10,10,10,9,9,9,5,72,SHS
10,10,9,9,9,9,9,5,70,SHS
10,10,10,10,10,9,9,5,73,SHS
10,11,12,12,10,9,9,5,78,SHS
10,10,10,9,9,9,9,5,71,SHS
10,11,10,10,9,9,9,5,73,SHS
10,8,8,8,8,8,9,5,64,JHS
10,9,9,12,9,9,9,5,72,SHS
10,8,8,8,9,9,9,5,66,SHS
10,12,11,11,9,9,9,5,76,SHS
10,13,11,12,10,10,9,5,80,SHS
10,8,8,8,8,8,9,5,64,JHS
9,5,6,6,5,6,8,5,50,JHS
10,10,9,10,9,9,9,5,71,SHS
10,5,8,6,5,6,8,8,56,JHS
10,3,7,4,4,5,7,6,46,JHS
10,4,6,5,4,5,7,6,47,JHS
10,3,7,6,4,5,7,6,48,JHS
10,3,6,4,4,5,7,6,45,JHS
10,4,6,5,4,5,7,6,47,JHS
10,4,7,5,4,4,7,5,46,JHS
10,5,8,7,5,6,8,8,57,JHS
10,4,7,4,4,8,6,6,49,JHS
9,9,5,5,10,8,7,4,57,JHS
10,5,8,5,5,6,8,8,55,JHS
10,4,7,5,5,5,8,7,51,JHS
10,3,6,5,5,5,7,6,47,JHS
10,3,7,5,3,5,6,6,45,JHS
10,4,5,5,5,3,6,7,45,JHS
10,4,7,6,5,5,6,6,49,JHS
10,9,9,6,6,8,12,13,73,SHS
10,11,11,9,7,7,15,14,84,SHS
10,9,11,9,8,7,13,13,80,SHS
10,9,11,7,6,6,13,8,70,SHS
8,9,9,8,8,8,13,14,77,SHS
10,3,3,3,3,3,5,4,34,JHS
10,11,10,9,8,9,14,15,86,SHS
10,9,12,8,9,9,13,14,84,SHS
10,9,10,6,5,8,13,13,74,SHS
10,8,10,5,7,7,13,13,73,SHS
10,11,14,9,10,10,15,15,94,SHS
10,8,10,7,6,6,13,15,75,SHS
10,8,9,7,7,6,12,11,70,SHS
10,8,11,7,7,7,9,13,72,SHS
10,9,8,7,5,7,14,11,71,SHS
10,9,10,9,8,7,11,6,70,SHS
10,10,13,9,10,10,10,9,81,SHS
10,9,11,7,7,8,9,8,69,SHS
8,8,3,4,5,3,7,6,44,JHS
9,8,9,9,9,8,6,6,64,JHS
8,8,8,7,7,8,12,9,67,SHS
9,4,8,9,9,7,5,6,57,JHS
9,6,5,6,6,8,7,6,53,JHS
9,8,6,5,8,8,7,4,55,JHS
9,8,3,3,4,4,7,6,44,JHS
9,9,8,5,7,8,5,5,56,JHS
8,8,7,6,7,8,5,9,58,JHS
9,3,5,4,5,4,6,6,42,JHS
10,12,14,10,10,10,15,15,96,SHS
10,11,12,10,9,10,11,11,84,SHS
9,8,11,8,7,9,11,11,74,SHS
10,10,12,9,10,6,11,11,79,SHS
9,10,8,7,8,8,11,11,72,SHS
10,12,14,10,10,10,15,15,96,SHS
10,11,12,10,9,10,11,10,83,SHS
10,10,12,10,10,8,11,11,82,SHS
9,9,10,8,9,8,11,8,72,SHS
10,13,13,10,10,10,13,13,92,SHS
10,9,9,10,10,10,10,13,81,SHS
9,8,12,9,10,8,11,9,76,SHS
10,13,9,10,10,10,12,9,83,SHS
10,12,14,9,10,10,11,9,85,SHS
10,12,12,10,10,10,11,9,84,SHS
10,11,11,6,5,5,14,12,74,SHS
10,8,8,5,4,4,11,10,60,JHS
10,10,9,6,4,5,10,10,64,JHS
10,10,9,6,4,5,9,10,63,JHS
10,6,7,8,7,7,9,7,61,JHS
10,11,13,10,10,10,15,14,93,SHS
9,7,9,7,7,5,11,10,65,SHS
9,8,10,7,7,5,11,10,67,SHS
10,8,12,8,8,8,11,11,76,SHS
10,8,9,5,4,4,11,9,60,JHS
9,6,9,6,4,4,12,10,60,JHS
9,10,9,6,4,5,9,10,62,JHS
10,10,9,6,4,5,9,10,63,JHS
10,7,8,5,4,4,8,10,56,JHS
10,10,10,6,4,5,9,10,64,JHS
9,7,9,6,4,5,12,10,62,JHS
10,9,9,5,4,4,11,9,61,JHS
9,8,9,6,4,5,12,10,63,JHS
10,10,10,6,4,4,11,11,66,SHS
10,8,9,6,6,8,11,10,68,SHS
10,7,9,5,3,5,9,8,56,JHS
10,10,9,6,4,5,9,10,63,JHS
10,8,8,5,4,4,11,9,59,JHS
10,10,9,6,4,5,9,10,63,JHS
9,6,9,6,4,5,12,10,61,JHS
10,9,7,5,5,5,11,13,65,SHS
10,8,8,7,6,5,12,11,67,SHS
10,8,8,5,4,4,11,9,59,JHS
9,10,9,6,5,4,12,10,65,SHS
10,6,9,6,5,5,12,10,63,JHS
10,9,9,7,6,6,10,10,67,SHS
9,10,11,8,6,5,12,9,70,SHS
10,9,8,5,4,5,11,9,61,JHS
10,9,8,5,4,4,11,9,60,JHS
10,8,9,5,4,5,11,9,61,JHS
10,9,8,5,4,4,11,9,60,JHS
10,6,9,6,4,5,12,10,62,JHS
10,10,9,6,4,4,12,10,65,SHS
10,10,9,6,4,4,12,10,65,SHS
10,7,8,6,5,4,14,12,66,SHS
9,10,9,6,4,4,12,10,64,JHS
9,10,9,6,4,4,12,10,64,JHS
10,6,9,6,4,4,12,10,61,JHS
10,5,5,5,3,5,9,8,50,JHS
10,10,9,6,4,4,12,10,65,SHS
9,6,9,6,4,4,12,10,60,JHS
9,10,9,6,4,4,12,10,64,JHS
10,8,8,5,4,4,11,9,59,JHS
9,10,9,6,4,4,9,10,61,JHS
9,6,9,6,4,5,12,10,61,JHS
9,5,4,3,3,4,11,10,49,JHS
9,10,9,6,4,4,9,10,61,JHS
10,13,13,9,10,9,14,15,93,SHS
10,11,10,9,10,7,15,13,85,SHS
9,12,12,9,9,10,10,14,85,SHS
10,11,10,9,10,7,15,13,85,SHS
10,11,10,9,10,7,15,13,85,SHS
9,11,12,9,10,9,13,14,87,SHS
8,5,8,9,9,6,12,13,70,SHS
10,13,13,9,10,9,14,15,93,SHS
9,11,13,9,10,8,13,13,86,SHS
9,9,10,10,9,10,12,11,80,SHS
10,12,13,10,10,10,12,14,91,SHS
10,9,8,7,10,10,13,14,81,SHS
8,5,8,9,9,6,12,13,70,SHS
10,11,10,9,10,7,15,13,85,SHS
10,12,13,10,10,10,12,14,91,SHS
10,9,7,8,10,10,13,14,81,SHS
10,5,7,5,7,5,13,14,66,SHS
10,10,10,9,8,9,5,5,66,SHS
10,7,8,7,10,8,9,6,65,SHS
10,7,11,10,10,9,9,6,72,SHS
10,7,12,8,7,9,6,9,68,SHS
10,5,13,9,8,7,6,6,64,JHS
10,5,8,6,8,5,7,15,64,JHS
10,10,10,9,8,9,5,6,67,SHS
10,6,7,7,8,7,5,5,55,JHS
10,6,7,9,8,8,6,5,59,JHS
10,9,7,7,8,6,7,10,64,JHS
10,5,5,5,7,6,10,10,58,JHS
10,10,12,10,10,7,7,6,72,SHS
10,7,8,9,9,9,7,6,65,SHS
10,7,8,9,9,9,7,6,65,SHS
10,12,11,10,9,10,7,7,76,SHS
10,11,13,10,10,10,7,7,78,SHS
10,10,11,9,8,9,6,6,69,SHS
10,8,10,7,10,6,6,6,63,JHS
10,8,9,8,9,8,7,6,65,SHS
10,7,12,8,7,9,6,9,68,SHS
10,10,10,9,8,9,6,6,68,SHS
9,10,13,9,9,9,10,10,79,SHS
9,8,10,9,10,7,9,9,71,SHS
8,8,11,5,8,5,12,8,65,SHS
9,12,15,9,8,10,11,11,85,SHS
9,5,7,9,7,6,8,8,59,JHS
9,10,12,9,9,10,10,10,79,SHS
8,10,12,8,9,9,10,10,76,SHS
9,10,11,12,10,9,10,11,82,SHS
8,10,11,10,9,9,9,10,76,SHS
8,9,10,9,6,9,11,11,73,SHS
8,8,8,10,9,7,11,11,72,SHS
8,13,15,10,10,10,11,11,88,SHS
8,7,8,9,10,9,9,10,70,SHS
10,10,10,9,8,8,8,13,76,SHS
10,6,8,7,10,6,10,9,66,SHS
9,10,11,10,10,6,14,15,85,SHS
10,10,11,9,10,9,14,15,88,SHS
10,6,11,8,9,8,8,12,72,SHS
10,3,8,6,10,7,8,11,63,JHS
10,6,10,3,10,7,10,11,67,SHS
10,9,13,8,10,10,14,14,88,SHS
10,11,9,9,9,6,13,15,82,SHS
10,6,8,6,9,9,13,13,74,SHS
10,10,14,7,9,10,14,13,87,SHS
10,9,14,7,7,10,13,13,83,SHS
10,9,12,8,9,7,12,12,79,SHS
10,6,7,7,9,2,9,12,62,JHS
10,10,14,10,6,8,10,9,77,SHS
10,9,11,8,9,7,12,13,79,SHS
10,12,15,9,10,9,14,14,93,SHS
10,9,14,9,10,7,12,12,83,SHS
10,9,11,7,10,5,10,13,75,SHS
10,12,14,10,10,10,14,14,94,SHS
10,11,13,9,10,8,13,10,84,SHS
9,9,9,5,9,6,11,6,64,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,9,6,11,6,64,JHS
9,9,9,5,8,6,11,6,63,JHS
9,7,9,8,8,6,11,6,64,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,8,9,7,5,7,11,6,62,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,7,9,8,8,6,11,6,64,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,8,9,7,5,7,11,6,62,JHS
9,9,9,5,9,6,11,6,64,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,6,8,8,11,6,66,SHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,7,9,8,8,6,11,6,64,JHS
9,8,9,7,5,7,11,6,62,JHS
9,9,9,5,9,6,11,6,64,JHS
9,9,9,5,9,6,11,6,64,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
9,9,9,5,8,6,11,6,63,JHS
